Filename,Prediction,Confidence
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\113-122秀娟\117\117-2-1.jpg,psax-ap,0.99
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\123-132琤珮\127\127-4-1.jpg,a5c,0.99
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\133-142郁媛\133\133-1-3.jpg,plax,0.99
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\143-152芝嫻\145\145-3-3.jpg,a4c,0.99
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\153-162季蓁\156\156-2-3.jpg,psax-ap,0.99
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\163-172岱蓉\163\163-1-3.jpg,plax,0.99
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\193-202郁媛\193\193-1-1.jpg,plax,0.99
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\193-202郁媛\199\199-2-1.jpg,psax-ap,0.99
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\223-232岱蓉\226\226-1-2.jpg,plax,0.99
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\223-232岱蓉\226\226-1-3.jpg,plax,0.99
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\293-302靜華\294\294-2-1.jpg,psax-ap,0.99
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\293-302靜華\301\301-3-2.jpg,a4c,0.99
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\313-322郁媛\317\317-4-3.jpg,a5c,0.99
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\323-332芝嫻\331\331-2-2.jpg,psax-ap,0.99
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\373-382靜華\377\377-1-2.jpg,plax,0.99
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\383-392芝嫻\389\389-1-2.jpg,plax,0.99
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\433-442郁媛\436\436-1-2.jpg,plax,0.99
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\443-452靜華\451\451-4-1.jpg,a5c,0.99
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\463-472岱蓉\464\464-3-2.jpg,a4c,0.99
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\553-562郁媛\554\554-4-2.jpg,a5c,0.99
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\583-592岱蓉\590\590-1-3.jpg,plax,0.99
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\613-622郁媛\616\616-1-2.jpg,plax,0.99
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\623-632芝嫻\623\623-1-1.jpg,plax,0.99
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\623-632芝嫻\629\629-4-1.jpg,a5c,0.99
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\633-642季蓁\639\639-2-2.jpg,psax-ap,0.99
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\643-654靜華\654\654-2-2.jpg,psax-ap,0.99
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\100\100-1-3.jpg,plax,0.99
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\58\58-2-1.jpg,psax-ap,0.99
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\60\60-1-1.jpg,plax,0.99
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\82\82-4-1.jpg,a5c,0.99
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\82\82-4-2.jpg,a5c,0.99
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\89\89-1-1.jpg,psax-av,0.99
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\94\94-1-1.jpg,plax,0.99
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\16\16-3-3.jpg,a4c,0.99
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\9\9-1-1.jpg,plax,0.99
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\113-122秀娟\117\117-2-3.jpg,psax-ap,0.989
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\143-152芝嫻\143\143-1-3.jpg,plax,0.989
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\143-152芝嫻\144\144-1-1.jpg,plax,0.989
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\143-152芝嫻\150\150-1-3.jpg,plax,0.989
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\153-162季蓁\154\154-3-3.jpg,a4c,0.989
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\163-172岱蓉\167\167-3-1.jpg,a5c,0.989
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\173-182秀娟\175\175-1-3.jpg,plax,0.989
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\193-202郁媛\197\197-3-2.jpg,a4c,0.989
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\193-202郁媛\198\198-3-2.jpg,a5c,0.989
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\203-212芝嫻\206\206-1-2.jpg,plax,0.989
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\203-212芝嫻\206\206-2-1.jpg,psax-ap,0.989
